"","Gene 1","Gene 2","T-value"
"1","ENSG00000004939","ENSG00000143416","4.03671958510166"
"2","ENSG00000005381","ENSG00000100448","1.31805196152411"
"3","ENSG00000005471","ENSG00000165209","1.6184831313467"
"4","ENSG00000005471","ENSG00000153064","0.83419773329376"
"5","ENSG00000005961","ENSG00000154146","32.3858445771645"
"6","ENSG00000005961","ENSG00000101335","24.8723551259194"
"7","ENSG00000005961","ENSG00000173210","19.2724780745144"
"8","ENSG00000005961","ENSG00000011105","15.8826166550317"
"9","ENSG00000005961","ENSG00000085733","12.659128203827"
"10","ENSG00000007312","ENSG00000128218","10.4042131116191"
"11","ENSG00000007312","ENSG00000177455","0.69216879393581"
"12","ENSG00000011105","ENSG00000161911","21.7660236365553"
"13","ENSG00000011105","ENSG00000005961","15.8826166550317"
"14","ENSG00000011422","ENSG00000125538","38.8593739757338"
"15","ENSG00000012124","ENSG00000100721","70.2281756919517"
"16","ENSG00000012124","ENSG00000083454","26.9085096781972"
"17","ENSG00000012124","ENSG00000132185","8.05827805575777"
"18","ENSG00000012124","ENSG00000137101","3.56484355247699"
"19","ENSG00000012124","ENSG00000132704","1.47322641582367"
"20","ENSG00000012223","ENSG00000148346","3.31085815576287"
"21","ENSG00000012817","ENSG00000067646","167.540054814506"
"22","ENSG00000012817","ENSG00000114374","69.9274583111463"
"23","ENSG00000012817","ENSG00000183878","39.2827359021429"
"24","ENSG00000012817","ENSG00000198692","12.2497238059196"
"25","ENSG00000013306","ENSG00000167671","2.91087585872157"
"26","ENSG00000013306","ENSG00000158578","1.26491163818485"
"27","ENSG00000013306","ENSG00000082146","1.2366245174356"
"28","ENSG00000014914","ENSG00000198951","21.3354890266098"
"29","ENSG00000035720","ENSG00000186265","22.040179614082"
"30","ENSG00000047932","ENSG00000163104","4.39691642786298"
"31","ENSG00000063854","ENSG00000167671","8.35173178036811"
"32","ENSG00000063854","ENSG00000143774","1.46436329326151"
"33","ENSG00000067048","ENSG00000114374","218.001449073694"
"34","ENSG00000067048","ENSG00000183878","194.934744340253"
"35","ENSG00000067048","ENSG00000067646","131.321762048034"
"36","ENSG00000067048","ENSG00000198692","125.261273294311"
"37","ENSG00000067048","ENSG00000129824","15.8650983259727"
"38","ENSG00000067646","ENSG00000114374","268.977092797549"
"39","ENSG00000067646","ENSG00000198692","244.427870938051"
"40","ENSG00000067646","ENSG00000129824","204.617883758581"
"41","ENSG00000067646","ENSG00000183878","184.769320508012"
"42","ENSG00000067646","ENSG00000012817","167.540054814506"
"43","ENSG00000068079","ENSG00000116663","15.6455027653429"
"44","ENSG00000068079","ENSG00000157601","8.78579859986608"
"45","ENSG00000068079","ENSG00000160932","1.07476064989485"
"46","ENSG00000073350","ENSG00000182173","15.5992859613478"
"47","ENSG00000075089","ENSG00000153130","17.4004135510318"
"48","ENSG00000080819","ENSG00000136100","45.0109786621604"
"49","ENSG00000082146","ENSG00000145335","44.1763187785845"
"50","ENSG00000082146","ENSG00000198876","34.7843015471962"
"51","ENSG00000082146","ENSG00000167671","10.087957892885"
"52","ENSG00000082146","ENSG00000158578","5.95156908734991"
"53","ENSG00000082146","ENSG00000013306","1.2366245174356"
"54","ENSG00000082781","ENSG00000113140","20.216074150317"
"55","ENSG00000082781","ENSG00000144677","16.5363244439953"
"56","ENSG00000082781","ENSG00000161911","9.93806129613363"
"57","ENSG00000082781","ENSG00000095303","2.87079142715022"
"58","ENSG00000083454","ENSG00000177455","32.4112384385272"
"59","ENSG00000083454","ENSG00000012124","26.9085096781972"
"60","ENSG00000085733","ENSG00000005961","12.659128203827"
"61","ENSG00000087074","ENSG00000144655","27.1570126982814"
"62","ENSG00000087074","ENSG00000171223","17.8351198431775"
"63","ENSG00000088827","ENSG00000137959","1.47926192882963"
"64","ENSG00000089127","ENSG00000111335","5.03928714072902"
"65","ENSG00000095303","ENSG00000144677","9.67681901020085"
"66","ENSG00000095303","ENSG00000198478","4.30903012165078"
"67","ENSG00000095303","ENSG00000082781","2.87079142715022"
"68","ENSG00000095585","ENSG00000132185","8.43955333240436"
"69","ENSG00000099725","ENSG00000067048","10.3636936664526"
"70","ENSG00000100365","ENSG00000151948","42.4645961369215"
"71","ENSG00000100448","ENSG00000005381","1.31805196152411"
"72","ENSG00000100721","ENSG00000012124","70.2281756919517"
"73","ENSG00000100721","ENSG00000137101","7.48930136289222"
"74","ENSG00000101335","ENSG00000005961","24.8723551259194"
"75","ENSG00000101856","ENSG00000108960","8.07413004079321"
"76","ENSG00000102837","ENSG00000118113","13.7261763480337"
"77","ENSG00000103569","ENSG00000171049","21.8652095364059"
"78","ENSG00000103569","ENSG00000151726","13.4050289261516"
"79","ENSG00000108839","ENSG00000161911","10.4193598898665"
"80","ENSG00000108839","ENSG00000198478","1.08153829728122"
"81","ENSG00000108960","ENSG00000101856","8.07413004079321"
"82","ENSG00000111331","ENSG00000126709","10.3477600362609"
"83","ENSG00000111331","ENSG00000137965","7.42005807853066"
"84","ENSG00000111331","ENSG00000133106","7.33727468044577"
"85","ENSG00000111331","ENSG00000137959","1.55406706823577"
"86","ENSG00000111335","ENSG00000156587","40.6763785399108"
"87","ENSG00000111335","ENSG00000177409","23.8822482525317"
"88","ENSG00000111335","ENSG00000137959","22.5298078831788"
"89","ENSG00000111335","ENSG00000138496","20.4893844243782"
"90","ENSG00000111335","ENSG00000137628","15.5383365458294"
"91","ENSG00000111644","ENSG00000161911","217.985189032909"
"92","ENSG00000111644","ENSG00000154146","12.8022079862138"
"93","ENSG00000111644","ENSG00000171611","6.41065396990922"
"94","ENSG00000111644","ENSG00000169704","3.59030501228437"
"95","ENSG00000113140","ENSG00000082781","20.216074150317"
"96","ENSG00000114268","ENSG00000141526","7.51094732146207"
"97","ENSG00000114374","ENSG00000183878","374.158476209711"
"98","ENSG00000114374","ENSG00000067646","268.977092797549"
"99","ENSG00000114374","ENSG00000067048","218.001449073694"
"100","ENSG00000114374","ENSG00000198692","82.7481054283673"
"101","ENSG00000114374","ENSG00000012817","69.9274583111463"
"102","ENSG00000115267","ENSG00000196116","13.237183531577"
"103","ENSG00000115267","ENSG00000138496","7.20843719513669"
"104","ENSG00000115267","ENSG00000134321","3.62083166393148"
"105","ENSG00000115415","ENSG00000162654","15.1853117966063"
"106","ENSG00000115415","ENSG00000163840","14.2748167280387"
"107","ENSG00000115415","ENSG00000138496","8.1091465173099"
"108","ENSG00000116191","ENSG00000164330","81.4128468323656"
"109","ENSG00000116663","ENSG00000068079","15.6455027653429"
"110","ENSG00000117228","ENSG00000162654","6.63671224082029"
