"","Top gene","Correlation gene"
"1","ENSG00000133106","ENSG00000002549"
"2","ENSG00000133106","ENSG00000115267"
"3","ENSG00000133106","ENSG00000115415"
"4","ENSG00000133106","ENSG00000126709"
"5","ENSG00000133106","ENSG00000157601"
"6","ENSG00000133106","ENSG00000134321"
"7","ENSG00000133106","ENSG00000137959"
"8","ENSG00000133106","ENSG00000137965"
"9","ENSG00000157601","ENSG00000111335"
"10","ENSG00000157601","ENSG00000133106"
"11","ENSG00000157601","ENSG00000134321"
"12","ENSG00000157601","ENSG00000134326"
"13","ENSG00000157601","ENSG00000137959"
"14","ENSG00000157601","ENSG00000137965"
"15","ENSG00000157601","ENSG00000138646"
"16","ENSG00000157601","ENSG00000185745"
"17","ENSG00000099725","ENSG00000012817"
"18","ENSG00000099725","ENSG00000067646"
"19","ENSG00000099725","ENSG00000129824"
"20","ENSG00000099725","ENSG00000114374"
"21","ENSG00000099725","ENSG00000198692"
"22","ENSG00000099725","ENSG00000183878"
"23","ENSG00000132185","ENSG00000007312"
"24","ENSG00000132185","ENSG00000100721"
"25","ENSG00000132185","ENSG00000128218"
"26","ENSG00000132185","ENSG00000153064"
"27","ENSG00000132185","ENSG00000156738"
"28","ENSG00000132185","ENSG00000177455"
"29","ENSG00000134321","ENSG00000055332"
"30","ENSG00000134321","ENSG00000133106"
"31","ENSG00000134321","ENSG00000185745"
"32","ENSG00000134321","ENSG00000157601"
"33","ENSG00000134321","ENSG00000137965"
"34","ENSG00000134321","ENSG00000137959"
