	Gene 1	Gene 2	T-value
1	SLC4A1	SELENBP1	4.03671958510166
2	MPO	CTSG	1.31805196152411
3	ABCB4	STRBP	1.6184831313467
4	ITGA2B	NRGN	32.3858445771645
5	ITGA2B	MYL9	24.8723551259194
6	ITGA2B	ABLIM3	19.2724780745144
7	ITGA2B	TSPAN9	15.8826166550317
8	ITGA2B	CTTN	12.659128203827
9	CD79B	VPREB3	10.4042131116191
10	TSPAN9	TREML1	21.7660236365553
11	TSPAN9	ITGA2B	15.8826166550317
12	PLAUR	IL1B	38.8593739757338
13	CD22	TCL1A	70.2281756919517
14	CD22	P2RX5	26.9085096781972
15	CD22	FCRLA	8.05827805575777
16	CD22	CD72	3.56484355247699
17	CD22	FCRL2	1.47322641582367
18	LTF	LCN2	3.31085815576287
19	KDM5D	ZFY	167.540054814506
20	KDM5D	USP9Y	69.9274583111463
21	KDM5D	UTY	39.2827359021429
22	KDM5D	EIF1AY	12.2497238059196
23	SLC25A39	UBXN6	2.91087585872157
24	SLC25A39	ALAS2	1.26491163818485
25	SLC25A39	STRADB	1.2366245174356
26	MTMR11	NAGA	21.3354890266098
27	STAP1	BTLA	22.040179614082
28	GOPC	SMARCAD1	4.39691642786298
29	HAGH	UBXN6	8.35173178036811
30	HAGH	GUK1	1.46436329326151
31	DDX3Y	USP9Y	218.001449073694
32	DDX3Y	UTY	194.934744340253
33	DDX3Y	ZFY	131.321762048034
34	DDX3Y	EIF1AY	125.261273294311
35	DDX3Y	RPS4Y1	15.8650983259727
36	ZFY	USP9Y	268.977092797549
37	ZFY	EIF1AY	244.427870938051
38	ZFY	RPS4Y1	204.617883758581
39	ZFY	UTY	184.769320508012
40	ZFY	KDM5D	167.540054814506
41	IFI35	FBXO6	15.6455027653429
42	IFI35	MX1	8.78579859986608
43	IFI35	LY6E	1.07476064989485
44	LLGL2	TSEN54	15.5992859613478
45	ACTR6	SCOC	17.4004135510318
46	CPOX	VPS36	45.0109786621604
47	STRADB	SNCA	44.1763187785845
48	STRADB	DCAF12	34.7843015471962
49	STRADB	UBXN6	10.087957892885
50	STRADB	ALAS2	5.95156908734991
51	STRADB	SLC25A39	1.2366245174356
52	ITGB5	SPARC	20.216074150317
53	ITGB5	CTDSPL	16.5363244439953
54	ITGB5	TREML1	9.93806129613363
