ENSG00000157601 MX1
ENSG00000133106 EPSTI1
ENSG00000132185 FCRLA
ENSG00000137959 IFI44L
ENSG00000134321 RSAD2
ENSG00000153064 BANK1
ENSG00000161911 TREML1
ENSG00000134326 CMPK2
ENSG00000004939 SLC4A1
ENSG00000166947 EPB42
ENSG00000177455 CD19
ENSG00000132704 FCRL2
ENSG00000185745 IFIT1
ENSG00000156738 MS4A1
ENSG00000137965 IFI44
ENSG00000115415 STAT1
ENSG00000158578 ALAS2
ENSG00000005961 ITGA2B
ENSG00000259207 ITGB3
ENSG00000198478 SH3BGRL2
ENSG00000012817 KDM5D
ENSG00000129824 RPS4Y1
ENSG00000068079 IFI35
ENSG00000137441 FGFBP2
ENSG00000095303 PTGS1
ENSG00000128218 VPREB3
ENSG00000119535 CSF3R
ENSG00000111335 OAS2
ENSG00000116191 RALGPS2
ENSG00000198951 NAGA
ENSG00000177409 SAMD9L
ENSG00000138795 LEF1
ENSG00000005381 MPO
ENSG00000012124 CD22
ENSG00000151726 ACSL1
ENSG00000082146 STRADB
ENSG00000163534 FCRL1
ENSG00000198692 EIF1AY
ENSG00000113140 SPARC
ENSG00000117228 GBP1
ENSG00000138496 PARP9
ENSG00000119917 IFIT3
ENSG00000125505 MBOAT7
ENSG00000126709 IFI6
ENSG00000145335 SNCA
ENSG00000143416 SELENBP1
ENSG00000100721 TCL1A
ENSG00000101335 MYL9
ENSG00000138646 HERC5
ENSG00000164330 EBF1
ENSG00000013306 SLC25A39
ENSG00000007312 CD79B
ENSG00000123384 LRP1
ENSG00000012223 LTF
ENSG00000067048 DDX3Y
ENSG00000035720 STAP1
ENSG00000067646 ZFY
ENSG00000156587 UBE2L6
ENSG00000187608 ISG15
ENSG00000180739 S1PR5
ENSG00000082781 ITGB5
ENSG00000204577 LILRB3
ENSG00000085733 CTTN
ENSG00000114374 USP9Y
ENSG00000101856 PGRMC1
ENSG00000154146 NRGN
ENSG00000198053 SIRPA
ENSG00000111331 OAS3
ENSG00000162894 FCMR
ENSG00000114268 PFKFB4
ENSG00000115267 IFIH1
ENSG00000165209 STRBP
ENSG00000126759 CFP
ENSG00000118113 MMP8
ENSG00000151948 GLT1D1
ENSG00000119922 IFIT2
ENSG00000137101 CD72
ENSG00000150687 PRSS23
ENSG00000137628 DDX60
ENSG00000186854 TRABD2A
ENSG00000144677 CTDSPL
ENSG00000148346 LCN2
ENSG00000167703 SLC43A2
ENSG00000196116 TDRD7
ENSG00000179921 GPBAR1
ENSG00000184060 ADAP2
ENSG00000183878 UTY
