ENSG00000135114 OASL
ENSG00000166091 CMTM5
ENSG00000167671 UBXN6
ENSG00000126353 CCR7
ENSG00000111644 ACRBP
ENSG00000169704 GP9
ENSG00000269404 SPIB
ENSG00000160932 LY6E
ENSG00000132530 XAF1
ENSG00000173210 ABLIM3
ENSG00000083454 P2RX5
ENSG00000143774 GUK1
ENSG00000144655 CSRNP1
ENSG00000171223 JUNB
ENSG00000162654 GBP4
ENSG00000126787 DLGAP5
ENSG00000120278 PLEKHG1
ENSG00000179144 GIMAP7
ENSG00000137462 TLR2
ENSG00000063854 HAGH
ENSG00000087074 PPP1R15A
ENSG00000180354 MTURN
ENSG00000122435 TRMT13
ENSG00000103569 AQP9
ENSG00000136573 BLK
ENSG00000149564 ESAM
ENSG00000133961 NUMB
ENSG00000011105 TSPAN9
ENSG00000163840 DTX3L
ENSG00000100448 CTSG
ENSG00000125538 IL1B
ENSG00000186265 BTLA
ENSG00000163104 SMARCAD1
ENSG00000116663 FBXO6
ENSG00000182173 TSEN54
ENSG00000153130 SCOC
ENSG00000136100 VPS36
ENSG00000198876 DCAF12
ENSG00000108960 MMD
ENSG00000171049 FPR2
ENSG00000171611 PTCRA
ENSG00000141526 SLC16A3
ENSG00000102837 OLFM4
ENSG00000148841 ITPRIP
ENSG00000145439 CBR4
ENSG00000161048 NAPEPLD
ENSG00000163714 U2SURP
ENSG00000011422 PLAUR
ENSG00000167106 FAM102A
ENSG00000133246 PRAM1
ENSG00000131747 TOP2A
ENSG00000169679 BUB1
ENSG00000135148 TRAFD1
ENSG00000095585 BLNK
ENSG00000134884 ARGLU1
ENSG00000163694 RBM47
ENSG00000132424 PNISR
ENSG00000132109 TRIM21
ENSG00000080819 CPOX
ENSG00000159958 TNFRSF13C
ENSG00000136869 TLR4
ENSG00000120709 FAM53C
ENSG00000134539 KLRD1
ENSG00000100365 NCF4
ENSG00000075089 ACTR6
ENSG00000183486 MX2
ENSG00000047932 GOPC
ENSG00000122482 ZNF644
ENSG00000005471 ABCB4
ENSG00000205413 SAMD9
ENSG00000133561 GIMAP6
ENSG00000213203 GIMAP1
ENSG00000073350 LLGL2
ENSG00000166002 SMCO4
ENSG00000177324 BEND2
ENSG00000273749 CYFIP1
ENSG00000187840 EIF4EBP1
ENSG00000014914 MTMR11
ENSG00000235568 NFAM1
